Project,Reproducible,All,Reproducibility
debezium/debezium,6,7,0.8571428571428571
molgenis/molgenis,0,6,0.0
spring-projects/spring-data-commons,3,15,0.2
aicis/fresco,0,5,0.0
FasterXML/jackson-dataformats-text,1,1,1.0
albfernandez/GDS-PMD-Security-Rules,1,1,1.0
vitorenesduarte/VCD-java-client,1,1,1.0
danfickle/openhtmltopdf,1,1,1.0
vert-x3/vertx-jdbc-client,0,1,0.0
openmrs/openmrs-module-webservices.rest,0,1,0.0
Blazebit/blaze-persistence,0,1,0.0
DataBiosphere/consent-ontology,0,1,0.0
rkonovalov/jsonignore,1,1,1.0
apereo/java-cas-client,0,1,0.0
ctripcorp/apollo,1,1,1.0
spring-projects/spring-data-jpa,2,2,1.0
linkedin/pinot,1,1,1.0
javadev/underscore-java,0,1,0.0
rafonsecad/cash-count,0,2,0.0
EnMasseProject/enmasse,0,3,0.0
dungba88/libra,1,1,1.0
paritytrading/foundation,1,1,1.0
societe-generale/ci-droid-tasks-consumer,1,1,1.0
milaboratory/milib,0,1,0.0
apache/incubator-servicecomb-java-chassis,0,2,0.0
apache/incubator-tamaya,0,1,0.0
aws/aws-encryption-sdk-java,0,1,0.0
brettwooldridge/HikariCP,0,1,0.0
jenkinsci/ansicolor-plugin,0,1,0.0
dhis2/dhis2-core,0,1,0.0
classgraph/classgraph,0,1,0.0
thelastpickle/cassandra-reaper,3,3,1.0
opentracing-contrib/java-p6spy,0,1,0.0
openmrs/openmrs-module-htmlformentry,0,1,0.0
SzFMV2018-Tavasz/AutomatedCar,2,2,1.0
AxonFramework/AxonFramework,0,1,0.0
webfirmframework/wff,1,1,1.0
lettuce-io/lettuce-core,0,1,0.0
CorfuDB/CorfuDB,1,1,1.0
swagger-api/swagger-codegen,2,2,1.0
DmitriiSerikov/money-transfer-service,0,1,0.0
pippo-java/pippo,1,1,1.0
vkostyukov/la4j,1,1,1.0
Activiti/Activiti,0,1,0.0
2018swecapstone/h2ms,3,3,1.0
kmehrunes/valuestreams,0,1,0.0
shapesecurity/shift-java,0,1,0.0
CSU-CS414-WareWolves/cs414-f18-001-WareWolves,0,1,0.0
FasterXML/jackson-databind,22,26,0.8461538461538461
FasterXML/jackson-dataformats-binary,1,1,1.0
square/javapoet,1,1,1.0
traccar/traccar,42,42,1.0
openzipkin/zipkin,0,1,0.0
org-tigris-jsapar/jsapar,1,1,1.0
smallcreep/cucumber-seeds,1,1,1.0
apache/incubator-dubbo,0,5,0.0
vert-x3/vertx-web,0,1,0.0
spring-cloud/spring-cloud-gcp,4,4,1.0
cpesch/RouteConverter,0,2,0.0
hexagonframework/spring-data-ebean,1,1,1.0
OpenFeign/feign,0,1,0.0
SpoonLabs/gumtree-spoon-ast-diff,1,1,1.0
raphw/byte-buddy,0,5,0.0
HubSpot/Baragon,0,1,0.0
INRIA/spoon,0,62,0.0
jgrapht/jgrapht,0,1,0.0
awslabs/amazon-kinesis-client,1,1,1.0
SonarOpenCommunity/sonar-cxx,0,1,0.0
apache/jackrabbit-oak,0,1,0.0
thelinmichael/spotify-web-api-java,0,1,0.0
Activiti/activiti-cloud-app-service,0,1,0.0
julianps/modelmapper-module-vavr,0,1,0.0
