Project,Reproducible,All,Reproducibility
google-auto,8,10,0.8
uniba-dsg-betsy,0,4,0.0
Whiley-WhileyCompiler,26,26,1.0
konsoletyper-teavm,1,2,0.5
sannies-mp4parser,9,11,0.8181818181818182
galenframework-galen,3,3,1.0
ninjaframework-ninja,6,6,1.0
pmlopes-yoke,1,1,1.0
jprante-elasticsearch-jdbc,1,1,1.0
nutzam-nutz,11,11,1.0
belluccifranco-sic,0,11,0.0
apache-dubbo,3,5,0.6
square-moshi,0,4,0.0
swagger-api-swagger-core,10,14,0.7142857142857143
ethereum-ethereumj,0,2,0.0
SpigotMC-BungeeCord,3,3,1.0
cbeust-testng,14,17,0.8235294117647058
raphw-byte-buddy,351,361,0.9722991689750693
puniverse-capsule,4,4,1.0
vkostyukov-la4j,8,8,1.0
huanghongxun-HMCL,3,3,1.0
jcabi-jcabi-s3,1,3,0.3333333333333333
cryptomator-cryptomator,1,1,1.0
junkdog-artemis-odb,9,9,1.0
NitorCreations-nflow,35,36,0.9722222222222222
alibaba-canal,0,23,0.0
Adobe-Consulting-Services-acs-aem-commons,82,114,0.7192982456140351
apache-incubator-shardingsphere,6,6,1.0
encog-encog-java-core,0,1,0.0
zxing-zxing,6,6,1.0
UNC-Libraries-Carolina-Digital-Repository,2,6,0.3333333333333333
kairosdb-kairosdb,17,17,1.0
thm-projects-arsnova-backend,0,10,0.0
terasolunaorg-terasoluna-tourreservation,0,6,0.0
google-guava,0,3,0.0
dita-ot-dita-ot,1,1,1.0
openmicroscopy-bioformats,1,3,0.3333333333333333
atomix-atomix,0,2,0.0
OpenTSDB-opentsdb,0,1,0.0
joyent-java-manta,55,58,0.9482758620689655
Bammerbom-UltimateCore,0,5,0.0
Wikidata-Wikidata-Toolkit,6,6,1.0
keeps-roda,0,1,0.0
SonarSource-sonarlint-intellij,3,3,1.0
square-wire,8,14,0.5714285714285714
keycloak-keycloak,0,1,0.0
otavanopisto-muikku,1,1,1.0
Flipkart-foxtrot,2,2,1.0
GoClipse-goclipse,7,7,1.0
apache-commons-lang,4,11,0.36363636363636365
igniterealtime-Openfire,4,6,0.6666666666666666
orbit-orbit,2,3,0.6666666666666666
Nukkit-Nukkit,16,17,0.9411764705882353
winder-Universal-G-Code-Sender,0,8,0.0
SynBioDex-libSBOLj,1,4,0.25
Scout24-deadcode4j,0,14,0.0
speedment-speedment,3,3,1.0
graphhopper-graphhopper,0,11,0.0
pgjdbc-pgjdbc,8,22,0.36363636363636365
HotswapProjects-HotswapAgent,2,2,1.0
ikasanEIP-ikasan,4,8,0.5
twilio-twilio-java,16,16,1.0
chewiebug-GCViewer,5,5,1.0
hbz-nwbib,0,2,0.0
jcabi-jcabi-parent,2,2,1.0
ontop-ontop,5,6,0.8333333333333334
HubSpot-Singularity,4,8,0.5
Azure-azure-sdk-for-java,8,8,1.0
languagetool-org-languagetool,4,4,1.0
uwescience-myria,4,7,0.5714285714285714
yasserg-crawler4j,2,2,1.0
spring-projects-spring-data-redis,0,1,0.0
rinde-RinSim,0,36,0.0
ibissource-iaf,4,4,1.0
ProjectKorra-ProjectKorra,7,9,0.7777777777777778
fayder-restcountries,7,7,1.0
TNG-JGiven,0,1,0.0
spring-projects-spring-amqp,2,3,0.6666666666666666
jindrapetrik-jpexs-decompiler,1,1,1.0
checkstyle-checkstyle,20,184,0.10869565217391304
stagemonitor-stagemonitor,11,15,0.7333333333333333
spring-projects-spring-data-commons,0,1,0.0
undera-jmeter-plugins,0,1,0.0
ocpsoft-rewrite,6,7,0.8571428571428571
apache-struts,6,6,1.0
joel-costigliola-assertj-core,7,8,0.875
square-okio,13,13,1.0
gwtbootstrap3-gwtbootstrap3,6,6,1.0
SonarSource-sonar-xml,2,3,0.6666666666666666
yamcs-yamcs,10,12,0.8333333333333334
google-closure-compiler,1,3,0.3333333333333333
haraldk-TwelveMonkeys,5,6,0.8333333333333334
wmixvideo-nfe,12,12,1.0
eclipse-golo-lang,1,1,1.0
SonarSource-sonar-java,15,59,0.2542372881355932
square-javapoet,6,12,0.5
HubSpot-Baragon,26,94,0.2765957446808511
charite-jannovar,10,12,0.8333333333333334
brianfrankcooper-YCSB,2,3,0.6666666666666666
openpnp-openpnp,7,7,1.0
perwendel-spark,0,1,0.0
dropwizard-dropwizard,0,4,0.0
IQSS-dataverse,1,2,0.5
crate-crate-jdbc,3,3,1.0
tananaev-traccar,58,59,0.9830508474576272
spring-projects-spring-security-oauth,0,15,0.0
square-okhttp,66,105,0.6285714285714286
NanoHttpd-nanohttpd,1,1,1.0
geotools-geotools,0,1,0.0
mybatis-mybatis-3,9,9,1.0
puniverse-quasar,8,9,0.8888888888888888
ome-bioformats,1,1,1.0
spring-projects-spring-data-jpa,5,31,0.16129032258064516
spring-projects-spring-hateoas,14,17,0.8235294117647058
square-retrofit,22,30,0.7333333333333333
davidmoten-rxjava-jdbc,16,16,1.0
brettwooldridge-HikariCP,3,3,1.0
UniversalMediaServer-UniversalMediaServer,0,19,0.0
Backendless-Android-SDK,0,5,0.0
terasolunaorg-terasoluna-gfw-functionaltest,0,1,0.0
mitreid-connect-OpenID-Connect-Java-Spring-Server,1,1,1.0
apache-jackrabbit-oak,4,6,0.6666666666666666
lviggiano-owner,3,3,1.0
owlcs-owlapi,33,33,1.0
rackerlabs-blueflood,4,4,1.0
SonarSource-sonar-php,21,21,1.0
FluentLenium-FluentLenium,5,9,0.5555555555555556
alibaba-fastjson,5,7,0.7142857142857143
ImmobilienScout24-deadcode4j,6,7,0.8571428571428571
HubTurbo-HubTurbo,6,6,1.0
petergeneric-stdlib,9,10,0.9
