Project,Reproducible,All,Reproducibility
AaltoXml,4,4,1.0
Appformer_uberfire_commons_editor_backend,0,1,0.0
Appformer_uberfire_security_management_client,0,1,0.0
Appformer_uberfire_workbench_client,0,3,0.0
Bcel,3,6,0.5
Cargo_container,0,4,0.0
Cayenne_jgroups,0,1,0.0
Cayenne_jms,0,1,0.0
Cayenne_xmpp,0,1,0.0
Cli,0,2,0.0
Codec,1,1,1.0
Collections,3,4,0.75
Compress,2,4,0.5
Csv,1,1,1.0
Dbutils,2,2,1.0
Deltaspike_api,0,6,0.0
Dosgi_common,0,2,0.0
Doxia_module_apt,0,2,0.0
Drools_model_compiler,0,1,0.0
Drools_traits,0,1,0.0
Email,3,3,1.0
Flume_ngcore,0,2,0.0
Fluo_api,0,4,0.0
Functor,2,2,1.0
Geometry_core,0,2,0.0
Graph,3,3,1.0
Hbase_common,0,1,0.0
Hivemall_core,0,3,0.0
Hono_client,0,4,0.0
HttpClient5,0,7,0.0
Httpcomponents_core_h2,0,1,0.0
Httpcomponents_core_httpcore5,0,3,0.0
Imaging,10,10,1.0
Incubator_tamaya_api,0,2,0.0
IO,21,21,1.0
Jackrabbit_filevault_vault_core,0,1,0.0
Jackrabbit_filevault_vault_validation,0,4,0.0
Jackrabbit_oak_core,0,5,0.0
JacksonCore,3,4,0.75
JacksonDatabind,12,39,0.3076923076923077
JacksonDataformatBinary_avro,0,2,0.0
JacksonDataformatBinary_cbor,0,5,0.0
JacksonDataformatBinary_protobuf,0,4,0.0
JacksonDataformatBinary_smile,0,3,0.0
JacksonDataformatsText_properties,0,2,0.0
JacksonDataformatsText_yaml,0,6,0.0
JacksonDatatypeJoda,2,3,0.6666666666666666
JacksonDatatypeJsr310,4,4,1.0
JacksonModuleAfterburner,3,3,1.0
JacksonModuleJsonSchema,1,1,1.0
jackson_modules_java8_datetime,0,5,0.0
James_mime4j_core,0,9,0.0
James_project_core,0,1,0.0
James_project_mailet_standard,0,1,0.0
James_project_server_container_core,0,1,0.0
Jandex,6,6,1.0
JavaClassmate,2,2,1.0
Jboss_modules,7,7,1.0
Jboss_threads,1,1,1.0
Jbpm_human_task_workitems,0,1,0.0
Jena_core,0,1,0.0
Jmh_core,0,1,0.0
Johnzon_core,0,11,0.0
Johnzon_jaxrs,0,1,0.0
Johnzon_jsonb,0,6,0.0
Johnzon_jsonschema,0,2,0.0
Johnzon_mapper,0,6,0.0
JXR,1,1,1.0
Karaf_main,0,1,0.0
Kie_memory_compiler,0,1,0.0
Kie_pmml_commons,0,3,0.0
Knox_assertion_common,0,1,0.0
Kogito_editors_java_kie_wb_common_stunner_widgets,0,1,0.0
Lang,0,9,0.0
Math,0,35,0.0
Maven2_artifact,0,2,0.0
Maven2_project,0,2,0.0
Maven_checkstyle_plugin,1,1,1.0
MDeploy,1,1,1.0
MetaModel_core,0,9,0.0
MetaModel_csv,0,1,0.0
MetaModel_excel,0,1,0.0
MetaModel_jdbc,0,3,0.0
MetaModel_pojo,0,1,0.0
MetaModel_salesforce,0,1,0.0
MGpg,1,1,1.0
Minaftp_api,0,1,0.0
Mrunit,2,2,1.0
MShade,6,6,1.0
Mshared_archiver,0,1,0.0
Net,13,14,0.9285714285714286
Nifi_mock,0,2,0.0
Numbers_angle,0,2,0.0
Oak_commons,0,1,0.0
Ognl,0,1,0.0
Oozie_client,0,2,0.0
Pdfbox_fontbox,0,5,0.0
Pdfbox_pdfbox,0,3,0.0
Pool,2,18,0.1111111111111111
Qpid_client,0,8,0.0
Qpidjms_client,0,3,0.0
Rat_core,0,1,0.0
Rat_plugin,0,1,0.0
Rave_commons,0,1,0.0
Rave_core,0,2,0.0
Rave_web,0,1,0.0
Rdf4j_query,0,4,0.0
Rdf4j_rio_api,0,2,0.0
Rdf4j_rio_jsonld,0,2,0.0
Rdf4j_rio_rdfjson,0,2,0.0
Rdf4j_rio_rdfxml,0,3,0.0
Rdf4j_rio_turtle,0,11,0.0
Rdf_jena,0,1,0.0
Sdk_core,3,3,1.0
Sentry_ccommon,0,2,0.0
Shindig_common,0,1,0.0
Shiro_core,0,9,0.0
Shiro_web,0,3,0.0
Sling_apiregions,3,3,1.0
Sling_cpconverter,2,3,0.6666666666666666
Sling_feature,3,3,1.0
Sling_validation,1,1,1.0
Storm_client,0,2,0.0
Struts1_core,0,2,0.0
Switchyard_admin,0,1,0.0
Switchyard_config,0,1,0.0
Switchyard_validate,0,1,0.0
Text,4,4,1.0
Tez_common,0,1,0.0
Tika_app,0,2,0.0
Tika_core,0,6,0.0
Tika,4,5,0.8
Tiles_api,0,2,0.0
Tiles_core,0,3,0.0
Tinkerpop_gremlin_core,0,1,0.0
Twill_dcore,0,1,0.0
Validator,3,21,0.14285714285714285
Vysper_nbxml,0,2,0.0
Webbeans_web,0,1,0.0
Weld_se_core,0,1,0.0
Wicket_cdi,0,1,0.0
Wicket_core,0,18,0.0
Wicket_request,0,6,0.0
Wicket_spring,0,1,0.0
Wicket_util,0,4,0.0
Wildfly_naming_client,2,2,1.0
Wink_common,0,4,0.0
Woodstox,7,7,1.0
Xbean_naming,0,1,0.0
Xbean_reflect,0,1,0.0
Xmlgraphics,0,2,0.0
