suite_number,suite_id,repr,repr_to_repr,broken_to_repr,failed_to_repr,broken,repr_to_broken,broken_to_broken,failed_to_broken,failed,repr_to_failed,broken_to_failed,failed_to_failed
1,15,1393,1378,11,4,533,16,517,0,14,4,2,8
2,16,1397,1380,13,4,530,9,520,1,13,4,0,9
3,17,1387,1370,11,6,541,23,518,0,12,4,1,7
4,20,1399,1371,24,4,526,9,516,1,15,7,1,7
5,27,1398,1379,12,7,525,11,514,0,17,9,0,8
6,30,1402,1384,10,8,526,11,515,0,12,3,0,9
7,48,1424,1388,30,6,505,10,495,0,11,4,1,6
8,49,1412,1398,10,4,507,13,494,0,20,13,0,7
9,51,1423,1379,34,10,479,15,464,0,37,18,9,10
10,53,1463,1409,36,18,452,8,443,1,24,6,0,18
11,54,1395,1380,9,4,522,76,443,1,26,7,0,19
12,55,1380,1304,68,8,467,38,429,0,96,53,25,18
13,59,1464,1361,40,63,458,17,427,14,21,2,0,19
14,61,1449,1433,13,3,460,15,445,0,34,16,0,18
15,62,1420,1393,18,9,477,34,442,1,46,22,0,24
16,63,1447,1400,22,25,475,19,455,1,21,1,0,20
17,64,1460,1439,20,1,458,3,455,0,25,5,0,20
18,65,1402,1398,1,3,478,27,451,0,63,35,6,22
19,71,1317,1274,24,19,439,17,416,6,187,111,38,38
20,74,1413,1273,20,120,463,13,406,44,67,31,13,23
21,75,1434,1391,15,28,471,16,448,7,38,6,0,32
22,76,1410,1396,14,0,493,35,456,2,40,3,1,36
23,79,1402,1382,18,2,498,23,474,1,42,4,1,37
24,86,1357,1331,9,17,504,12,484,8,66,45,4,17
25,87,1407,1337,10,45,515,16,493,6,20,4,1,15
26,88,1403,1378,22,3,522,28,493,1,17,1,0,16
27,91,1417,1390,26,1,504,12,492,0,21,1,4,16
28,125,1471,1373,93,5,438,29,409,0,33,15,2,16
29,144,1412,1377,22,13,510,92,416,2,20,2,0,18
30,153,1500,1332,165,3,420,78,342,0,22,2,3,17
31,157,1627,1459,162,6,296,38,258,0,19,3,0,16
32,160,1604,1559,44,1,303,54,249,0,35,14,3,18
33,164,1625,1568,44,13,293,35,258,0,24,1,1,22
34,176,1299,1224,70,5,603,381,222,0,40,20,1,19
35,179,1643,1236,386,21,271,54,216,1,28,9,1,18
