Image Tag,Num Patches,Patches List
gwtbootstrap3-gwtbootstrap3-92837490,1,['Maven TLS Failure']
gwtbootstrap3-gwtbootstrap3-92837483,1,['Maven TLS Failure']
brettwooldridge-HikariCP-158059986,3,"['Insecure Link', 'Insecure Link', 'Maven TLS Failure']"
swagger-api-swagger-core-56505019,2,"['Insecure Link', 'Maven TLS Failure']"
jprante-elasticsearch-jdbc-108309477,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
zxing-zxing-128622626,1,['Maven TLS Failure']
zxing-zxing-128622624,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-94037390,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-61131831,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-68883949,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-67173870,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-64783123,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-83815810,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-73120529,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-82839755,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-74003864,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-81716539,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-88918694,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-86760055,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-85219838,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-95233029,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-85031638,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-162333127,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-163222724,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-168216256,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-187574671,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-192220170,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-215762818,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-222962393,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-213295615,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-219855883,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-215331201,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-222703226,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-203646639,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-221926468,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-237850518,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-236238795,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-231752787,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-253824439,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-245728860,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-255051211,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
apache-commons-lang-210284572,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-212643975,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-224002128,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-226894246,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-224267191,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-234158905,2,"['Insecure Link', 'Unavailable PPAs']"
apache-commons-lang-232282024,2,"['Insecure Link', 'Unavailable PPAs']"
kairosdb-kairosdb-171093894,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-258938889,1,['Insecure Link']
kairosdb-kairosdb-171093895,1,['Insecure Link']
kairosdb-kairosdb-160772309,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-160772310,1,['Insecure Link']
kairosdb-kairosdb-194637034,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-226427085,1,['Insecure Link']
kairosdb-kairosdb-194637035,1,['Insecure Link']
kairosdb-kairosdb-226427084,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-156977713,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-165948004,1,['Insecure Link']
kairosdb-kairosdb-242004442,1,['Insecure Link']
kairosdb-kairosdb-165948003,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-242004441,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-165599699,2,"['Insecure Link', 'Maven TLS Failure']"
kairosdb-kairosdb-252500621,1,['Insecure Link']
huanghongxun-HMCL-129961549,1,['Maven TLS Failure']
huanghongxun-HMCL-113890146,1,['Maven TLS Failure']
huanghongxun-HMCL-125590421,1,['Maven TLS Failure']
spring-projects-spring-hateoas-68327070,1,['Unavailable PPAs']
spring-projects-spring-hateoas-68327071,1,['Unavailable PPAs']
spring-projects-spring-hateoas-232784946,1,['Unavailable PPAs']
haraldk-TwelveMonkeys-90933740,1,['Maven TLS Failure']
haraldk-TwelveMonkeys-140849713,1,['Maven TLS Failure']
haraldk-TwelveMonkeys-140849704,1,['Maven TLS Failure']
cbeust-testng-61702917,1,['Maven TLS Failure']
cbeust-testng-61702916,1,['Maven TLS Failure']
cbeust-testng-134024224,1,['Maven TLS Failure']
winder-Universal-G-Code-Sender-138576539,1,['Maven TLS Failure']
winder-Universal-G-Code-Sender-243265926,1,['Maven TLS Failure']
winder-Universal-G-Code-Sender-110682754,1,['Maven TLS Failure']
winder-Universal-G-Code-Sender-162367685,1,['Maven TLS Failure']
winder-Universal-G-Code-Sender-172454077,1,['Maven TLS Failure']
konsoletyper-teavm-84626989,2,"['Maven TLS Failure', 'Unavailable PPAs']"
nutzam-nutz-296667028,1,['Maven TLS Failure']
nutzam-nutz-305692165,1,['Maven TLS Failure']
nutzam-nutz-320012347,1,['Maven TLS Failure']
nutzam-nutz-321817136,1,['Maven TLS Failure']
nutzam-nutz-300022263,1,['Maven TLS Failure']
nutzam-nutz-333553716,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-65364623,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-79059301,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-79059302,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-65364622,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-82056062,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-79059303,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-82056063,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-82056064,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-65364621,1,['Maven TLS Failure']
davidmoten-rxjava-jdbc-172208960,2,"['Maven TLS Failure', 'Insecure Link']"
FluentLenium-FluentLenium-281050024,2,"['Insecure Link', 'Unavailable PPAs']"
FluentLenium-FluentLenium-219239762,1,['Insecure Link']
FluentLenium-FluentLenium-140805252,2,"['Maven TLS Failure', 'Unavailable PPAs']"
FluentLenium-FluentLenium-140805248,1,['Maven TLS Failure']
Nukkit-Nukkit-147959283,1,['Maven TLS Failure']
Nukkit-Nukkit-165723367,1,['Maven TLS Failure']
FluentLenium-FluentLenium-192472875,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
owlcs-owlapi-119939037,4,"['Insecure Link', 'Unavailable JDK Version', 'Maven TLS Failure', 'Insecure Link']"
SonarSource-sonarlint-intellij-184267034,2,"['Maven TLS Failure', 'Unavailable PPAs']"
owlcs-owlapi-192008926,2,"['Insecure Link', 'Unavailable JDK Version']"
square-retrofit-49032572,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
square-okhttp-45582450,2,"['Maven TLS Failure', 'Unavailable PPAs']"
square-okhttp-96815523,2,"['Maven TLS Failure', 'Unavailable PPAs']"
square-okhttp-77169824,2,"['Maven TLS Failure', 'Unavailable PPAs']"
nutzam-nutz-159117608,2,"['Maven TLS Failure', 'Unavailable PPAs']"
square-okhttp-45592783,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
square-okhttp-45582449,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
nutzam-nutz-81601078,1,['Maven TLS Failure']
nutzam-nutz-89845306,1,['Maven TLS Failure']
owlcs-owlapi-197561511,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-101183825,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-101938093,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-158991453,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-189433636,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-215059047,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-215173903,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-228471368,2,"['Insecure Link', 'Unavailable JDK Version']"
owlcs-owlapi-93793148,2,"['Insecure Link', 'Unavailable JDK Version']"
SynBioDex-libSBOLj-88818413,2,"['Maven TLS Failure', 'Unavailable PPAs']"
tananaev-traccar-210688956,2,"['Maven TLS Failure', 'Unavailable PPAs']"
swagger-api-swagger-core-231706520,2,"['Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-80198432,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
SonarSource-sonar-php-78204269,3,"['Insecure Link', 'Maven TLS Failure', 'Unavailable PPAs']"
