Suite,Newly Reproducible,Newly Broken
suite-2.csv,7,11
suite-3.csv,8,6
suite-4.csv,7,16
suite-5.csv,16,6
suite-6.csv,10,6
suite-7.csv,6,7
suite-8.csv,23,8
suite-9.csv,8,6
suite-10.csv,26,13
suite-11.csv,32,3
suite-12.csv,4,69
suite-13.csv,60,22
suite-14.csv,23,10
suite-15.csv,8,7
suite-16.csv,11,24
suite-17.csv,12,15
suite-18.csv,16,3
suite-19.csv,1,22
suite-20.csv,19,12
suite-21.csv,16,8
suite-22.csv,10,13
suite-23.csv,9,32
suite-24.csv,15,18
suite-25.csv,6,10
suite-26.csv,6,14
suite-27.csv,20,27
suite-28.csv,25,9
suite-29.csv,92,22
suite-30.csv,14,90
suite-31.csv,162,70
suite-32.csv,157,34
suite-33.csv,40,53
suite-34.csv,43,29
suite-35.csv,62,379
suite-36.csv,383,49
